FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,19270576,-2890265.5,19486116,-8.529832
0.5,19914846,-977132.7,19938804,-2.8089957
1,20205954,-500429.84,20212150,-1.4187232
5,19585038,157713.13,19585672,0.46137777
10,19386136,282404.2,19388192,0.83458734
50,18941582,-70161.92,18941712,-0.21222955
100,18426696,-538128.5,18434552,-1.6727756
250,18219152,-2219180.5,18353808,-6.9446917
500,17593136,-4604454,18185692,-14.66642
1000,13090464,-7402861,15038704,-29.488834
