FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,9349265,-2302390,9628590,-13.834616
0.5,8787080,-1164127.4,8863858,-7.546695
1,8771934,-773720.9,8805990,-5.0406795
5,8127948,-300146.84,8133488,-2.1148434
10,7907604.5,-202720.83,7910202.5,-1.4685236
50,7399892.5,-279061.16,7405152.5,-2.159687
100,7242944.5,-439838.72,7256287,-3.4751048
250,7105734,-993275,7174820.5,-7.9575276
500,6588760,-1936221.9,6867366,-16.376343
1000,5378030.5,-3146242,6230734.5,-30.32838
