FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,1663488.3,-324173.63,1694780.8,-11.027353
0.5,1483399.1,-439515.44,1547141.5,-16.503998
1,1466026.4,-439624.78,1530523.9,-16.692677
5,1459406.8,-421333.94,1519009.8,-16.103542
10,1476852.8,-362718.56,1520742.9,-13.798856
50,1487943.1,-241430,1507402.8,-9.2163515
100,1487955.9,-242094.5,1507521.9,-9.241202
250,1454013.6,-346259.84,1494674.4,-13.394963
500,1346674.8,-522549.63,1444503.8,-21.207724
1000,1043676.2,-745769.7,1282744.1,-35.54809
