Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
2.6800184,2.6711679,-2.6668956,-2.6562142,0.006119982,0.0061288327,0.011466896,0.011456215,0.0059917853
0.13557625,0.13557625,-2.6765087,-0.28526735,0.0086644245,0.0086644245,0.011476509,0.009085268,0.0030893148
-2.6765087,-2.399405,-2.6794078,0.5338373,0.011476509,0.011199406,0.0114794085,0.008266163,0.039517194
-2.6781871,-0.5831237,-2.449912,1.0320435,0.0114781875,0.009383124,0.011249913,0.0077679567,0.019199615
-2.52636,0.35927343,-2.3176167,1.4139771,0.011326361,0.008440727,0.011117618,0.007386023,-0.0049795285
-2.1076524,0.93926907,-2.238575,1.6871138,0.010907653,0.007860731,0.011038576,0.0071128868,0.04062077
-1.7353323,1.3591976,-2.0872054,1.7472343,0.010535332,0.007440803,0.0108872065,0.007052766,0.05999955
-1.4901197,1.7008471,-2.0710306,1.8436713,0.010290121,0.0070991535,0.010871031,0.006956329,0.059261497
-1.3012134,1.977951,-2.0151827,1.9927521,0.010101214,0.0068220496,0.010815184,0.0068072486,0.08622804
-1.1364155,2.1976805,-1.9710841,2.0510416,0.0099364165,0.00660232,0.010771085,0.0067489585,0.073625
-1.0302129,2.3563743,-1.910048,2.2027159,0.009830213,0.0064436262,0.0107100485,0.0065972847,0.10692178
-0.8612957,2.508812,-1.8831921,2.23064,0.009661296,0.0062911883,0.010683193,0.0065693604,0.08097638
-0.77111435,2.5953302,-1.8770885,2.4491496,0.009571115,0.00620467,0.010677089,0.0063508507,0.09823654
-0.6539255,2.684596,-1.8772411,2.5027084,0.009453926,0.0061154044,0.010677242,0.006297292,0.12880924
-0.61257315,2.6873426,-1.8905165,2.5555043,0.009412574,0.0061126575,0.010690517,0.006244496,0.12450876
0.13206673,1.036622,-1.8467234,2.6174567,0.008667934,0.007763379,0.010646724,0.0061825435,0.14331512
-0.485466,2.6868849,-1.8636607,2.6771193,0.009285467,0.006113115,0.010663661,0.006122881,0.13276348
-0.34889746,2.6858168,-1.834516,2.584649,0.009148899,0.0061141835,0.010634517,0.006215351,0.14374813
-0.3682766,2.6870375,-1.8126955,2.6832228,0.0091682775,0.006112963,0.010612696,0.0061167777,0.17128563
-0.27412844,2.6870375,-1.7696654,2.604334,0.009074129,0.006112963,0.0105696665,0.0061956663,0.16877827
-0.27412844,2.6859694,-1.7600517,2.6833754,0.009074129,0.0061140307,0.010560052,0.006116625,0.1790545
-0.20012188,2.686122,-1.7147326,2.6836805,0.009000123,0.0061138785,0.010514733,0.00611632,0.2187667
-0.14610481,2.6859694,-1.6894026,2.6832228,0.008946105,0.0061140307,0.010489404,0.0061167777,0.19789726
-0.18791485,2.6858168,-1.6697183,2.683528,0.008987916,0.0061141835,0.010469719,0.006116472,0.1684276
-0.113451004,2.686122,-1.6425574,2.6836805,0.008913452,0.0061138785,0.010442558,0.00611632,0.2274193
-0.14488411,2.6859694,-1.6303502,2.68719,0.008944885,0.0061140307,0.010430351,0.00611281,0.22045697
-0.115587234,2.6859694,-1.6193639,2.6868849,0.008915587,0.0061140307,0.010419365,0.006113115,0.24168229
-0.09391928,2.6844435,-1.6097503,2.6868849,0.008893919,0.0061155567,0.01040975,0.006113115,0.23421928
-0.03639269,2.6859694,-1.5816739,2.6870375,0.008836393,0.0061140307,0.010381674,0.006112963,0.23579054
0.020981312,2.6856642,-1.55375,2.6868849,0.008779019,0.006114336,0.010353751,0.006113115,0.26700658
0.029373646,2.686122,-1.5694666,2.6868849,0.008770627,0.0061138785,0.010369468,0.006113115,0.25023422
0.074845314,2.6859694,-1.576791,2.6836805,0.008725155,0.0061140307,0.0103767915,0.00611632,0.26942044
0.0489049,2.686122,-1.6015105,2.6832228,0.008751095,0.0061138785,0.010401511,0.0061167777,0.26412305
0.0699625,2.686122,-1.6416419,2.6836805,0.008730038,0.0061138785,0.010441642,0.00611632,0.28381982
0.12001228,2.6859694,-1.6234838,2.6833754,0.008679989,0.0061140307,0.010423484,0.006116625,0.27184695
0.091935165,2.6858168,-1.6208898,2.6836805,0.008708065,0.0061141835,0.0104208905,0.00611632,0.30157083
0.14778376,2.6858168,-1.6039519,2.6856642,0.008652217,0.0061141835,0.010403953,0.006114336,0.33301872
0.17479181,2.6856642,-1.5856411,2.6873426,0.008625208,0.006114336,0.010385642,0.0061126575,0.327745
0.19829082,2.6858168,-1.5734341,2.6870375,0.008601709,0.0061141835,0.010373435,0.006112963,0.32826576
0.21141338,2.6858168,-1.5352868,2.68719,0.008588587,0.0061141835,0.010335288,0.00611281,0.34152952
0.20317364,2.6847486,-1.5159078,2.6873426,0.008596826,0.0061152517,0.010315909,0.0061126575,0.3441333
0.14168024,2.6849012,-1.5270467,2.6873426,0.008658321,0.006115099,0.010327048,0.0061126575,0.34702575
0.21522903,2.6847486,-1.5001907,2.68719,0.008584771,0.0061152517,0.010300191,0.00611281,0.3637494
0.14686823,2.6844435,-1.5342187,2.68719,0.008653132,0.0061155567,0.01033422,0.00611281,0.38794398
0.19707012,2.6844435,-1.5218587,2.6870375,0.00860293,0.0061155567,0.01032186,0.006112963,0.3659582
0.17387629,2.684596,-1.5293355,2.6870375,0.008626124,0.0061154044,0.010329337,0.006112963,0.38222837
0.21736526,2.684596,-1.5185018,2.68719,0.008582636,0.0061154044,0.010318503,0.00611281,0.39220062
0.28572512,2.6847486,-1.5099564,2.6873426,0.008514276,0.0061152517,0.010309957,0.0061126575,0.40321124
0.2980852,2.6849012,-1.486305,2.68719,0.008501915,0.006115099,0.010286306,0.00611281,0.41244087
0.30800343,2.6847486,-1.4693676,2.6873426,0.008491997,0.0061152517,0.010269368,0.0061126575,0.38518387
0.3298235,2.6847486,-1.5000381,2.6873426,0.008470177,0.0061152517,0.010300038,0.0061126575,0.4337162
0.284657,2.684596,-1.4916456,2.6873426,0.008515344,0.0061154044,0.010291646,0.0061126575,0.46288234
0.3699546,2.6849012,-1.5070572,2.68719,0.008430046,0.006115099,0.010307058,0.00611281,0.4524242
0.33745337,2.6832228,-1.5058365,2.6870375,0.008462547,0.0061167777,0.010305837,0.006112963,0.50655013
0.37041235,2.6847486,-1.488899,2.6873426,0.008429588,0.0061152517,0.0102889,0.0061126575,0.49029317
0.35164404,2.6832228,-1.4719616,2.68719,0.008448357,0.0061167777,0.010271963,0.00611281,0.4904313
0.37514305,2.6844435,-1.4350345,2.6873426,0.008424858,0.0061155567,0.010235035,0.0061126575,0.47485954
0.35942602,2.6836805,-1.4388494,2.6873426,0.008440575,0.00611632,0.01023885,0.0061126575,0.49588948
0.3421836,2.6849012,-1.4301517,2.68719,0.008457817,0.006115099,0.010230152,0.00611281,0.5278727
0.31624317,2.6849012,-1.4412909,2.68719,0.008483757,0.006115099,0.0102412915,0.00611281,0.5270644
0.30296803,2.6844435,-1.428931,2.6873426,0.008497032,0.0061155567,0.010228931,0.0061126575,0.5325391
0.28618288,2.6836805,-1.4513617,2.68719,0.008513818,0.00611632,0.010251362,0.00611281,0.54519165
0.26634645,2.6832228,-1.4667736,2.6873426,0.008533654,0.0061167777,0.010266774,0.0061126575,0.557412
0.36888647,2.684596,-1.4843214,2.6873426,0.008431114,0.0061154044,0.010284322,0.0061126575,0.5654702
