Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
26.820023,26.736094,26.8246,26.601816,0.027181087,0.027097158,0.027185665,0.02696288,-0.0036106852
-13.286412,-13.31159,0.21400692,13.400093,-0.058369085,-0.0584698,-0.0043674107,0.04837693,0.026117193
-8.923222,-8.926273,-5.602859,8.928309,-0.080038875,-0.08006634,-0.05015561,0.08062489,-0.0009003845
-6.6943235,-6.694705,-6.700427,6.687838,-0.09439736,-0.09440346,-0.09449501,0.1,-0.031779528
-0.09414769,1.3237201,-5.3554587,5.347829,-0.0059140776,0.029532617,-0.1,0.1,0.007120771
3.636098,4.474836,-4.461611,4.4562697,0.1,0.1,-0.1,0.1,0.019799551
3.8283799,3.8227124,-3.8238018,3.8216217,0.1,0.1,-0.1,0.1,0.012361495
3.3454456,3.3359082,-3.3486876,3.3450642,0.1,0.1,-0.1,0.1,0.032628044
2.9764419,2.9666078,-2.9779675,2.9737294,0.1,0.1,-0.1,0.1,0.0133249955
2.6798658,2.6702523,-2.677882,2.6758986,0.1,0.1,-0.1,0.1,0.03992178
2.4349933,2.4263923,-2.4269476,2.4330513,0.1,0.1,-0.1,0.1,0.007276386
2.231187,2.2219043,-1.8603925,2.2300427,0.1,0.1,-0.1,0.1,0.01783654
2.0587358,2.0501668,-1.4909827,2.057444,0.1,0.1,-0.1,0.1,0.041709244
1.9099389,1.9018735,-1.0304743,1.9124461,0.1,0.1,-0.1,0.1,0.030708758
1.7814906,1.7736577,-0.7167163,1.7840341,0.1,0.1,-0.1,0.1,0.042815123
1.6688124,1.6604201,-0.55366397,1.6733904,0.1,0.1,-0.1,0.1,0.025563471
1.5700185,1.5619404,-0.34821987,1.5748658,0.1,0.1,-0.1,0.1,0.02984814
1.4819475,1.4738096,-0.16950236,1.4881362,0.1,0.1,-0.1,0.1,0.05068562
1.0782907,1.0544386,-0.011524652,1.4098133,0.1,0.1,-0.082969114,0.1,0.04147827
1.3318455,1.3246739,0.45674062,1.3387885,0.1,0.1,0.09258724,0.1,0.045054507
1.2672617,1.2620302,1.2756181,1.2743828,0.1,0.1,0.1,0.1,0.0780667
1.2086879,1.2046652,1.2181209,1.2165257,0.1,0.1,0.1,0.1,0.050497252
1.1522883,1.1635668,1.1651591,0.0010946522,0.1,0.1,0.1,-0.0323744,0.014327597
1.105993,1.10434,1.1149578,-1.1142583,0.1,0.1,0.1,-0.1,0.0666193
1.0607157,1.0602274,1.0703595,-1.066209,0.1,0.1,0.1,-0.1,0.052956972
1.0199777,1.0198603,1.0297787,-1.026316,0.1,0.1,0.1,-0.1,0.0674823
0.9822006,0.98203105,0.99118656,-0.98909545,0.1,0.1,0.1,-0.1,0.05331927
0.9465226,0.9466861,0.95709497,-0.9541521,0.1,0.1,0.1,-0.1,0.048190534
0.9139892,0.91393656,0.9241443,-0.92177653,0.1,0.1,0.1,-0.1,0.07270658
0.8835228,0.88342106,0.8928817,-0.8910506,0.1,0.1,0.1,-0.1,0.049234226
0.8550221,0.85492367,0.8640791,-0.862307,0.1,0.1,0.1,-0.1,0.06172045
0.828255,0.8279212,0.8366952,-0.8354076,0.1,0.1,0.1,-0.1,0.049723044
0.8032025,0.80311006,0.80949104,-0.8104621,0.1,0.1,0.1,-0.1,0.06271982
0.779579,0.7794892,0.78680444,-0.78684944,0.1,0.1,0.1,-0.1,0.04404696
0.75691295,0.75700015,0.76428074,-0.7644116,0.1,0.1,0.1,-0.1,0.06707082
0.73618424,0.7359723,0.7430931,-0.7431355,0.1,0.1,0.1,-0.1,0.09181872
0.7164111,0.71603996,0.72267956,-0.72313327,0.1,0.1,0.1,-0.1,0.079845
0.69715667,0.6971968,0.7035412,-0.70410347,0.1,0.1,0.1,-0.1,0.07366576
0.67959386,0.6793591,0.6856191,-0.6860496,0.1,0.1,0.1,-0.1,0.080229506
0.662604,0.6623751,0.6678301,-0.6688983,0.1,0.1,0.1,-0.1,0.07613329
