Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
2.6795607,2.6713204,-2.6670482,-2.6598763,0.1,0.1,0.1,0.1,0.0059917853
-2.655909,-2.6646068,-0.03257799,2.6810865,0.1,0.1,0.1,0.1,0.0030893148
-2.6780345,-0.64538056,0.13481331,2.680934,0.1,0.1,0.1,0.1,0.039517194
-2.6781871,-0.7811856,-0.05561924,2.6810865,0.1,0.1,0.1,0.1,0.019199615
-2.6777294,-0.7994967,0.11528206,2.680934,0.1,0.1,0.1,0.1,-0.0049795285
-2.6777294,-0.89425516,0.10872078,2.6800184,0.1,0.1,0.1,0.1,0.04062077
-2.67895,-0.84435797,0.11146736,2.6812391,0.1,0.1,0.1,0.1,0.05999955
-2.6830702,-0.6832228,0.19310284,2.6807814,0.1,0.1,0.1,0.1,0.059261497
-2.6768138,-1.1982145,0.15159845,2.6810865,0.1,0.1,0.1,0.1,0.08622804
-2.6852064,-1.1362629,0.176013,2.6807814,0.1,0.1,0.1,0.1,0.073625
-2.6781871,-1.3483634,0.20408916,2.682002,0.1,0.1,0.1,0.1,0.10692178
-2.6829176,-1.3646908,0.14808893,2.6823072,0.1,0.1,0.1,0.1,0.08097638
-2.6646068,-1.4965286,0.20530987,2.682002,0.1,0.1,0.1,0.1,0.09823654
-2.6635387,-1.4339664,0.13481331,2.6810865,0.1,0.1,0.1,0.1,0.12880924
-2.662318,-1.3326466,0.13328743,2.6807814,0.1,0.1,0.1,0.1,0.12450876
-2.6325629,-1.1542687,0.39558983,2.6812391,0.1,0.1,0.1,0.1,0.14331512
-2.6546884,-1.064393,0.17616558,2.6810865,0.1,0.1,0.1,0.1,0.13276348
-2.6766613,-1.1214616,0.079728134,2.680934,0.1,0.1,0.1,0.1,0.14374813
-2.682765,-1.2511635,0.1711297,2.6807814,0.1,0.1,0.1,0.1,0.17128563
-2.682765,-1.1557946,0.06126499,2.6810865,0.1,0.1,0.1,0.1,0.16877827
-2.6743724,-1.072633,0.14930964,2.6812391,0.1,0.1,0.1,0.1,0.1790545
-2.6792552,-1.181277,0.15159845,2.682002,0.1,0.1,0.1,0.1,0.2187667
-2.6757457,-0.94338894,0.064011574,2.6821547,0.1,0.1,0.1,0.1,0.19789726
-2.6781871,-1.229038,0.1223011,2.6807814,0.1,0.1,0.1,0.1,0.1684276
-2.6777294,-1.1322956,0.2458992,2.6807814,0.1,0.1,0.1,0.1,0.2274193
-2.6791027,-1.0691235,0.12092781,2.680934,0.1,0.1,0.1,0.1,0.22045697
-2.6794078,-1.0068667,0.15159845,2.682002,0.1,0.1,0.1,0.1,0.24168229
-2.6757457,-1.0407414,0.2420845,2.6807814,0.1,0.1,0.1,0.1,0.23421928
-2.6740673,-1.0593576,0.1822691,2.680934,0.1,0.1,0.1,0.1,0.23579054
-2.6855116,-1.1913481,0.16044855,2.680934,0.1,0.1,0.1,0.1,0.26700658
-2.675288,-1.1535058,0.17982769,2.6812391,0.1,0.1,0.1,0.1,0.25023422
-2.6768138,-1.4777601,0.12245369,2.680934,0.1,0.1,0.1,0.1,0.26942044
