Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
0.71313,2.6833754,-1.5888455,2.686122,0.01,0.01,0.01,0.01,0.4539431
0.7463951,2.6832228,-1.5877774,2.6858168,0.01,0.01,0.01,0.01,0.46312582
0.6778818,2.682002,-1.6022735,2.6856642,0.01,0.01,0.01,0.01,0.45672625
0.6226444,2.6832228,-1.6108184,2.6858168,0.01,0.01,0.01,0.01,0.4563993
0.6546884,2.6833754,-1.5876248,2.6859694,0.01,0.01,0.01,0.01,0.47524378
0.6205082,2.6833754,-1.5792325,2.686122,0.01,0.01,0.01,0.01,0.4952797
0.63256264,2.6823072,-1.5912869,2.6859694,0.01,0.01,0.01,0.01,0.4604701
0.627985,2.6833754,-1.6317236,2.6858168,0.01,0.01,0.01,0.01,0.4922
0.6777292,2.6833754,-1.6388953,2.6856642,0.01,0.01,0.01,0.01,0.52091855
0.65575653,2.6833754,-1.6463721,2.6856642,0.01,0.01,0.01,0.01,0.5027715
0.6021972,2.6833754,-1.6927599,2.6856642,0.01,0.01,0.01,0.01,0.50917107
0.62874794,2.6824598,-1.7048143,2.6856642,0.01,0.01,0.01,0.01,0.5452395
0.64370155,2.6832228,-1.7122912,2.6858168,0.01,0.01,0.01,0.01,0.52090925
0.69848156,2.6833754,-1.6842146,2.6858168,0.01,0.01,0.01,0.01,0.53194046
0.6754404,2.6833754,-1.6268407,2.6856642,0.01,0.01,0.01,0.01,0.5384033
0.7180128,2.6832228,-1.6123449,2.6856642,0.01,0.01,0.01,0.01,0.5486114
0.69100475,2.6832228,-1.6428626,2.6858168,0.01,0.01,0.01,0.01,0.56167406
0.7801175,2.6833754,-1.6318762,2.6856642,0.01,0.01,0.01,0.01,0.581223
0.7373924,2.6832228,-1.6355383,2.6859694,0.01,0.01,0.01,0.01,0.5547545
0.75722885,2.6833754,-1.6511025,2.6858168,0.01,0.01,0.01,0.01,0.59165406
0.67177826,2.6832228,-1.6488135,2.6856642,0.01,0.01,0.01,0.01,0.576619
0.640955,2.6833754,-1.6637673,2.6858168,0.01,0.01,0.01,0.01,0.5842954
0.6791025,2.6823072,-1.631571,2.6856642,0.01,0.01,0.01,0.01,0.57006955
0.5640497,2.6833754,-1.7072557,2.6856642,0.01,0.01,0.01,0.01,0.6113933
0.64370155,2.6833754,-1.7377737,2.6858168,0.01,0.01,0.01,0.01,0.6144896
0.5596247,2.6832228,-1.753643,2.686122,0.01,0.01,0.01,0.01,0.6318537
0.68993664,2.6836805,-1.7528801,2.686122,0.01,0.01,0.01,0.01,0.6250511
0.65575653,2.683528,-1.7574577,2.686122,0.01,0.01,0.01,0.01,0.6349724
0.65316254,2.6824598,-1.8026245,2.686122,0.01,0.01,0.01,0.01,0.62773836
0.6653696,2.6833754,-1.7806517,2.686122,0.01,0.01,0.01,0.01,0.6369203
0.70092297,2.6832228,-1.739147,2.6856642,0.01,0.01,0.01,0.01,0.65829265
0.6597238,2.6833754,-1.7443349,2.6858168,0.01,0.01,0.01,0.01,0.6376733
0.6690317,2.682002,-1.6939806,2.6856642,0.01,0.01,0.01,0.01,0.65042096
0.69985485,2.6823072,-1.9404136,2.6858168,0.01,0.01,0.01,0.01,0.0059917853
0.698329,2.6823072,-1.959945,2.6856642,0.01,0.01,0.01,0.01,0.0009893146
0.69237804,2.6821547,-1.8917372,2.686122,0.01,0.01,0.01,0.01,0.03531719
