Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
-2.670863,-2.6765087,2.6795607,2.6604867,0.01,0.01,0.01,0.01,0.0059917853
2.6627755,2.6542306,0.35698462,2.6798658,0.01,0.01,0.01,0.01,0.0009893146
2.6812391,2.6739144,-0.3293662,2.6823072,0.01,0.01,0.01,0.01,0.03531719
2.6849012,2.677577,-0.6650644,2.6824598,0.01,0.01,0.01,0.01,0.012899615
2.6847486,2.67834,-0.8385596,2.6836805,0.01,0.01,0.01,0.01,-0.013379529
2.6870375,2.6798658,-0.96520954,2.6832228,0.01,0.01,0.01,0.01,0.030120771
2.6873426,2.6797132,-1.0114443,2.6836805,0.01,0.01,0.01,0.01,0.04739955
2.5918207,2.6800184,-1.1203935,2.6849012,0.01,0.01,0.01,0.01,0.044561498
0.23735428,0.5864806,-1.1498437,2.6847486,0.01,0.01,0.01,0.01,0.06942804
2.1464105,2.680934,-1.2084384,2.6844435,0.01,0.01,0.01,0.01,0.054725
2.0428014,2.6807814,-1.2702372,2.6844435,0.01,0.01,0.01,0.01,0.08592178
1.8975358,2.680934,-1.3167773,2.6847486,0.01,0.01,0.01,0.01,0.05787639
1.7116809,2.682002,-1.3425651,2.6856642,0.01,0.01,0.01,0.01,0.07303654
1.5836577,2.6824598,-1.3813232,2.6858168,0.01,0.01,0.01,0.01,0.10150924
1.5555811,2.682002,-1.4620434,2.6856642,0.01,0.01,0.01,0.01,0.09510876
1.4576178,2.682002,-1.5171285,2.6856642,0.01,0.01,0.01,0.01,0.11181513
1.3212024,2.6821547,-1.5587854,2.6859694,0.01,0.01,0.01,0.01,0.099163465
1.2456703,2.682002,-1.5766385,2.686122,0.01,0.01,0.01,0.01,0.10804814
1.2148471,2.682002,-1.5867093,2.6859694,0.01,0.01,0.01,0.01,0.13348563
1.1512165,2.6821547,-1.6099029,2.686122,0.01,0.01,0.01,0.01,0.12887827
1.1206989,2.6824598,-1.5925078,2.6859694,0.01,0.01,0.01,0.01,0.1370545
1.1463337,2.6823072,-1.5841153,2.6859694,0.01,0.01,0.01,0.01,0.1746667
1.126955,2.6824598,-1.5549707,2.6856642,0.01,0.01,0.01,0.01,0.15169726
1.145113,2.6832228,-1.5514611,2.6858168,0.01,0.01,0.01,0.01,0.1201276
1.0535593,2.6832228,-1.5766385,2.686122,0.01,0.01,0.01,0.01,0.1770193
1.0759902,2.6833754,-1.5267415,2.686122,0.01,0.01,0.01,0.01,0.16795698
1.0439463,2.6832228,-1.5746548,2.686122,0.01,0.01,0.01,0.01,0.1870823
1.062562,2.6833754,-1.5438317,2.6859694,0.01,0.01,0.01,0.01,0.17751928
1.0657663,2.6832228,-1.6283666,2.6858168,0.01,0.01,0.01,0.01,0.17699054
1.0047302,2.6832228,-1.6388953,2.686122,0.01,0.01,0.01,0.01,0.20610657
0.98428303,2.6824598,-1.6437781,2.6856642,0.01,0.01,0.01,0.01,0.18723425
0.14564753,0.32875538,-1.6515603,2.686122,0.01,0.01,0.01,0.01,0.20432046
1.0108337,2.6832228,-1.6622415,2.686122,0.01,0.01,0.01,0.01,0.19692305
0.92828274,2.6823072,-1.6742964,2.6856642,0.01,0.01,0.01,0.01,0.21451984
0.8789964,2.6824598,-1.6906236,2.6856642,0.01,0.01,0.01,0.01,0.20044698
0.8789964,2.6833754,-1.7075609,2.6858168,0.01,0.01,0.01,0.01,0.22807083
0.87182426,2.6833754,-1.6742964,2.6858168,0.01,0.01,0.01,0.01,0.25741875
0.8184176,2.6836805,-1.6939806,2.6856642,0.01,0.01,0.01,0.01,0.250045
0.7715726,2.683528,-1.6756697,2.6858168,0.01,0.01,0.01,0.01,0.24846576
0.14549494,0.3469138,-1.6816206,2.6859694,0.01,0.01,0.01,0.01,0.25962952
0.7352562,2.683528,-1.6576638,2.6859694,0.01,0.01,0.01,0.01,0.2601333
0.7154188,2.6832228,-1.6706343,2.6856642,0.01,0.01,0.01,0.01,0.26092577
0.6913099,2.6836805,-1.6784163,2.6859694,0.01,0.01,0.01,0.01,0.2755494
