Predictions1,Predictions2,Predictions3,Predictions4,Updates1,Updates2,Updates3,Updates4,Targets
-0.9362173,2.6832228,-2.6769664,2.683528,0.01,0.01,0.01,0.01,0.0059917853
2.6833754,2.6849012,-1.5305562,2.6847486,0.01,0.01,0.01,0.01,0.0030893148
1.7202258,2.6836805,-1.5331502,2.6856642,0.01,0.01,0.01,0.01,0.039517194
1.4141297,2.6824598,-1.5416955,2.686122,0.01,0.01,0.01,0.01,0.019199615
1.2821393,2.683528,-1.5304036,2.686122,0.01,0.01,0.01,0.01,-0.0049795285
1.1707487,2.6832228,-1.5197225,2.686122,0.01,0.01,0.01,0.01,0.04062077
1.1683073,2.6833754,-1.5146871,2.6859694,0.01,0.01,0.01,0.01,0.05999955
1.0344849,2.6832228,-1.4913404,2.6859694,0.01,0.01,0.01,0.01,0.059261497
1.0662241,2.6833754,-1.5197225,2.686122,0.01,0.01,0.01,0.01,0.08622804
0.98153645,2.6833754,-1.5131607,2.6856642,0.01,0.01,0.01,0.01,0.073625
0.14168024,0.5057602,-1.4892042,2.6856642,0.01,0.01,0.01,0.01,0.10692178
0.83154017,2.6832228,-1.4948502,2.6858168,0.01,0.01,0.01,0.01,0.08097638
0.8464947,2.6836805,-1.4803541,2.6858168,0.01,0.01,0.01,0.01,0.09823654
0.79720736,2.6836805,-1.4742504,2.6859694,0.01,0.01,0.01,0.01,0.12880924
0.7141981,2.6823072,-1.474403,2.6856642,0.01,0.01,0.01,0.01,0.12450876
0.7964444,2.6836805,-1.5123978,2.6858168,0.01,0.01,0.01,0.01,0.14331512
0.74715805,2.6836805,-1.4670788,2.6858168,0.01,0.01,0.01,0.01,0.13276348
0.7218275,2.6836805,-1.5278096,2.6856642,0.01,0.01,0.01,0.01,0.14374813
0.74593735,2.6836805,-1.5122452,2.6859694,0.01,0.01,0.01,0.01,0.17128563
0.7390709,2.683528,-1.5329976,2.6856642,0.01,0.01,0.01,0.01,0.16877827
0.7830167,2.683528,-1.5207906,2.6859694,0.01,0.01,0.01,0.01,0.1790545
0.8033114,2.683528,-1.5073624,2.6858168,0.01,0.01,0.01,0.01,0.2187667
0.7705045,2.6832228,-1.5319295,2.6856642,0.01,0.01,0.01,0.01,0.19789726
0.82299525,2.6836805,-1.5082779,2.6858168,0.01,0.01,0.01,0.01,0.1684276
0.8170443,2.6832228,-1.4928663,2.686122,0.01,0.01,0.01,0.01,0.2274193
0.8084994,2.6833754,-1.4217594,2.6859694,0.01,0.01,0.01,0.01,0.22045697
0.8057528,2.6833754,-1.3964294,2.6859694,0.01,0.01,0.01,0.01,0.24168229
0.7915616,2.683528,-1.3327992,2.6859694,0.01,0.01,0.01,0.01,0.23421928
0.74349594,2.6832228,-1.3302052,2.6856642,0.01,0.01,0.01,0.01,0.23579054
0.7387657,2.683528,-1.3105212,2.6858168,0.01,0.01,0.01,0.01,0.26700658
0.66323334,2.6836805,-1.3669796,2.6858168,0.01,0.01,0.01,0.01,0.25023422
0.66796356,2.683528,-1.3512626,2.6856642,0.01,0.01,0.01,0.01,0.26942044
0.66292816,2.683528,-1.4034486,2.6856642,0.01,0.01,0.01,0.01,0.26412305
0.63515663,2.683528,-1.444953,2.6858168,0.01,0.01,0.01,0.01,0.28381982
0.6462961,2.6836805,-1.4498358,2.6856642,0.01,0.01,0.01,0.01,0.27184695
0.63134193,2.683528,-1.4548712,2.6856642,0.01,0.01,0.01,0.01,0.30157083
0.6951246,2.6836805,-1.4473944,2.686122,0.01,0.01,0.01,0.01,0.33301872
0.7524986,2.6836805,-1.4559399,2.6856642,0.01,0.01,0.01,0.01,0.327745
0.14534235,0.3321128,-1.4473944,2.6859694,0.01,0.01,0.01,0.01,0.32826576
0.73983383,2.683528,-1.4843214,2.686122,0.01,0.01,0.01,0.01,0.34152952
0.7927823,2.6824598,-1.479286,2.6859694,0.01,0.01,0.01,0.01,0.3441333
0.75967026,2.6832228,-1.4608227,2.686122,0.01,0.01,0.01,0.01,0.34702575
0.7462425,2.6836805,-1.4023805,2.6858168,0.01,0.01,0.01,0.01,0.3637494
0.7839322,2.6832228,-1.345922,2.6856642,0.01,0.01,0.01,0.01,0.38794398
0.76470613,2.6836805,-1.2923627,2.6858168,0.01,0.01,0.01,0.01,0.3659582
0.14183283,0.54497623,-1.2658122,2.686122,0.01,0.01,0.01,0.01,0.38222837
0.65926605,2.6832228,-1.2255285,2.6858168,0.01,0.01,0.01,0.01,0.39220062
0.63866615,2.683528,-1.2510109,2.6856642,0.01,0.01,0.01,0.01,0.40321124
0.6801706,2.6832228,-1.2325475,2.6859694,0.01,0.01,0.01,0.01,0.41244087
0.6777292,2.6832228,-1.2958722,2.6856642,0.01,0.01,0.01,0.01,0.39307077
