Voltages,Currents
0.0,0.5790038
0.0017501015425828788,0.58983755
0.0034996670133171886,0.287251
0.005248160504557991,1.4274054
0.006995046437017311,0.76836824
0.008739789723816891,0.69878674
0.01048185593439012,0.74959946
0.01222071145818292,1.0650034
0.013955823668103457,0.85458183
0.015686661083670624,0.8802171
0.017412693533811273,0.87579155
0.019133392319256416,0.90463114
0.02084823037448653,0.9438467
0.022556682429176498,0.6595712
0.024258225169090628,0.93423367
0.025952337396378495,0.8826585
0.027638500189222565,0.9060044
0.02931619706078858,0.91439676
0.030984914117430137,0.9855037
0.03264414021609896,1.2127109
0.03429336712091257,0.9754329
0.03593208965883155,0.9867244
0.037559805874398555,0.9986267
0.039176017183491806,1.0755324
0.0407802285260459,1.1355
0.04237194851769315,0.8660259
0.04395068960027902,1.0975051
0.045515968191205625,1.0646982
0.047067304831557376,1.0662241
0.048604224332963596,1.1454182
0.050126255923152965,1.1309223
0.051632933390155344,1.3953614
0.05312379522510666,1.201572
0.05459838476361322,1.2403297
0.05605625032563216,1.2552834
0.057496945353825074,1.2540627
0.05892002855034254,1.2696271
0.06032506401199768,0.96200514
0.06171162136378712,1.2146945
0.06307927589071885,1.2966352
0.06442760866790613,1.3115892
0.06575620668888808,1.3247118
0.06706466299213713,1.3018231
0.06835257678571514,1.2638283
0.06961955357003945,1.2832074
0.0708652052587217,1.5761805
0.07208915029744228,1.3355455
0.07329101378082369,1.3576717
0.07447042756726752,1.3489742
0.07562703039171953,1.3712521
0.07676046797632834,1.4663162
0.07787039313896399,1.4393072
0.0789564658995629,1.4991226
0.08001835358426686,1.2209506
0.08105573092732397,1.4251161
0.08206828017072056,1.427558
0.08305569116151319,1.488594
0.08401766144683144,1.507668
0.08495389636652184,1.4702835
0.08586410914340495,1.4652481
0.08674802097111783,1.4678421
0.08760536109951488,1.4982071
0.08843586691760108,1.5444422
0.08923928403397208,1.8253608
0.09001536635473661,1.5191121
0.09076387615889725,1.5581751
0.09148458417116645,1.5677881
0.09217726963219566,1.5542078
0.09284172036619592,1.6045623
0.0934777328459292,1.6131072
0.09408511225505056,1.5638208
0.09466367254778231,1.5520716
0.09521323650590131,1.5662622
0.09573363579302263,1.6334019
0.09622471100616249,1.5748072
0.09668631172456477,1.5723658
0.09711829655577629,1.5662622
0.09752053317895659,1.6150908
0.09789289838540896,1.6652937
0.09823527811632042,1.4063478
0.0985475674976989,1.639658
0.09882967087249717,1.6213474
0.09908150182991338,1.5847259
0.09930298323185946,1.605783
0.09949404723658929,1.5918975
0.09965463531947918,1.6346226
0.09978469829095449,1.6678877
0.09988419631155684,1.6115813
0.09995309890414733,1.6483555
0.09999138496324189,1.6118865
0.09999904276147618,1.5862517
0.09997606995319769,1.5897613
0.09992247357518427,1.6361485
0.09983827004448875,1.6521702
0.09972348515341017,1.6494236
0.09957815406159341,1.603189
0.09940232128525948,1.5809107
0.09919604068356978,1.6309605
0.09895937544212856,1.6480503
0.0986923980536286,1.6324863
0.09839519029564606,1.5908294
0.09806784320559125,1.6225681
0.09771045705282311,1.6532383
0.09732314130793568,1.6175323
0.0969060146092264,1.8863964
0.0964592047263561,1.6384373
0.0959828485212119,1.5932708
0.09547709190598536,1.6778059
0.09494208979847814,1.6445408
0.0943780060746493,1.5848784
0.09378501351841864,1.5749598
0.09316329376874144,1.5690088
0.09251303726397077,1.6143279
0.09183444318352457,1.5955596
0.09112771938687513,1.5947967
0.09039308234987993,1.5410848
0.0896307570984731,1.5934234
0.08884097713973799,1.6077666
0.0880239843903818,1.5650415
0.08718002910263428,1.5555811
0.08630936978759339,1.2432289
0.0854122731360408,1.4942398
0.08448901393675234,1.5186543
0.08353987499232746,1.5346761
0.08256514703256451,1.4490728
0.08156512862540741,1.4419012
0.08054012608549169,1.4699783
0.07949045338031746,1.4600592
0.07841643203407855,1.4946976
0.07731839102917648,1.3833065
0.07619666670545037,1.6483555
0.07505160265715305,1.3970399
0.07388354962770488,1.3710995
0.07269286540225807,1.4444952
0.07147991469810369,1.4383917
0.07024506905295567,1.3918519
0.06898870671114526,1.3286791
0.06771121250776163,1.313878
0.06641297775077311,1.1309223
0.06509440010116635,1.3027387
0.06375588345113896,1.2757306
0.06239783780038375,1.2661171
0.06102067913050228,1.246891
0.05962482927758567,1.3091478
0.05821071580300274,1.2978559
0.05677877186243379,1.2745099
0.055329436073191435,1.4567022
0.05386315237986784,1.2761884
0.05238036991835088,1.2735944
0.05088154287824936,1.2613869
0.04936713036377103,1.1857023
0.04783759625309459,1.159915
0.04629340905627966,0.8985276
0.04473504177175813,1.1806669
0.043162971741450167,1.1487751
0.04157768050455041,1.1184101
0.03997965365002788,1.1098647
0.03836938066788603,1.0416574
0.036747354799227215,1.2967877
0.03511407288516882,1.032959
0.03347003521465612,1.0706491
0.03181574537121934,0.9900813
0.03015171007872164,1.0381479
0.02847843904614475,1.062562
0.026796444811460842,0.7788968
0.025106242584637214,0.9855037
0.02340835008982318,0.92065334
0.02170328740676615,0.8963914
0.01999157681150688,0.8937974
0.018273742616401276,0.92172146
0.016550311009519144,1.196384
0.014821809893467753,0.87914896
0.013088768723690634,0.8571758
0.011351718346290758,0.8573284
0.009611190835427283,0.90951395
0.007867719330336814,0.8672466
0.0061218378720276955,0.5425348
0.004374081239698801,0.75585556
0.002624984786931503,0.7853055
0.0008750842777064058,0.77447176
-0.0008750842777063367,0.70733166
-0.002624984786931434,0.95590115
-0.004374081239698687,-0.14869928
-0.006121837872027626,0.49614716
-0.007867719330336703,0.4995041
-0.009611190835427216,0.52010345
-0.011351718346290646,0.53872013
-0.013088768723690566,0.24940872
-0.014821809893467645,0.4103918
-0.016550311009519078,0.39238548
-0.01827374261640121,0.3997097
-0.019991576811506814,0.38628197
-0.02170328740676608,0.33745337
-0.023408350089823074,0.65331507
-0.025106242584637152,0.42504025
-0.026796444811460735,0.38261986
-0.028478439046144683,0.31380177
-0.030151710078721534,0.32021046
-0.03181574537121928,0.36308813
-0.03347003521465602,0.008621216
-0.03511407288516876,0.21019268
-0.03674735479922715,0.22987747
-0.03836938066788597,0.2797742
-0.03997965365002782,0.15022516
-0.04157768050455031,0.43633175
-0.043162971741450104,0.25307083
-0.044735041771758036,0.21660233
-0.0462934090562796,0.15877008
-0.04783759625309449,0.21522903
-0.049367130363770974,0.20042706
-0.05088154287824929,0.14305353
-0.052380369918350815,-0.16334772
-0.05386315237986779,0.08323765
-0.05532943607319138,0.09941292
-0.056778771862433734,0.03425646
-0.05821071580300265,0.012741089
-0.05962482927758561,0.04646349
-0.06102067913050219,0.29076052
-0.06239783780038371,0.005264282
-0.06375588345113888,-0.019455433
-0.06509440010116631,0.057602406
-0.06641297775077307,0.036697865
-0.06771121250776159,-0.060502052
-0.06898870671114522,0.026016712
-0.07024506905295562,0.016098022
-0.07147991469810364,-0.30876637
-0.07269286540225799,-0.054398537
-0.07388354962770483,-0.102006435
-0.07505160265715298,-0.14640999
-0.07619666670545033,-0.15083551
-0.07731839102917641,-0.1450367
-0.07841643203407847,-0.12657356
-0.07949045338031745,-0.2109561
-0.08054012608549165,0.09330845
-0.08156512862540737,-0.16197443
-0.08256514703256446,-0.20347881
