Predictions1,Predictions2,Predictions3,Predictions4,Weights1,Weights2,Weights3,Weights4,Updates1,Updates2,Updates3,Updates4,Targets
-0.0060272217,0.06767368,-0.06813145,7.6293945e-05,inf,-inf,inf,inf,inf,-0.0,0.0,0.0,0.039167296
0.0017547607,0.079880714,-0.04356432,0.0074005127,0.17547607,7.9880714,-4.356432,0.74005127,0.0009865527,-0.0013572259,0.002346125,0.0008171801,0.03463985
0.0029754639,0.09666538,-0.019455433,0.0074005127,0.1487732,4.833269,-0.97277164,0.37002563,0.0009485537,-0.004672841,0.0022944077,0.0006830508,0.018784693
0.0025177002,0.101854324,0.00022888184,0.011367798,0.08392334,3.3951442,0.0076293945,0.3789266,0.0050151884,-0.0039251074,0.005221182,0.00421868,0.05824202
7.6293945e-05,0.13435555,0.0066375732,0.008773804,0.0019073486,3.3588886,0.16593933,0.2193451,0.010030268,-0.0060832417,0.009242915,0.008986567,0.08366186
0.007858276,0.16411066,0.022202015,0.015182495,0.15716553,3.2822132,0.4440403,0.3036499,0.007422916,-0.016014943,0.005271355,0.0063242833,0.05734438
0.00541687,0.1711297,0.029526234,0.013656616,0.09028117,2.852162,0.4921039,0.22761028,0.023759585,-0.006068723,0.019419901,0.022276431,0.13741457
0.0090789795,0.17982769,0.04432726,0.0075531006,0.1296997,2.568967,0.63324654,0.10790144,0.012663947,-0.023193283,0.005261808,0.012984382,0.06938349
0.014877319,0.1749444,0.047684193,0.014877319,0.18596649,2.186805,0.5960524,0.18596649,0.011047662,-0.027368437,0.0031740125,0.011047662,0.060909245
0.017318726,0.17097712,0.060349464,0.013504028,0.19243027,1.8997457,0.6705496,0.15004475,0.036004104,-0.005483664,0.024385802,0.037034072,0.15066725
0.011520386,0.18242168,0.07225132,0.011062622,0.11520386,1.8242168,0.7225132,0.11062622,0.046615534,-0.004654858,0.028396253,0.046752863,0.16690549
0.015945435,0.1859312,0.078354836,0.017166138,0.1449585,1.6902837,0.7123167,0.1560558,0.028982932,-0.02711237,0.008387831,0.0285801,0.103772506
0.0211339,0.18120098,0.08232212,0.017623901,0.17611584,1.5100082,0.6860177,0.14686584,0.049537245,-0.008086903,0.027509486,0.050800845,0.15873736
