Inputs,Targets,States1,States2,States3,States4,States5,States6,States7,States8
0.0,0.0,0.3057146,2.6725411,2.665217,-2.6485846,2.651484,-2.6415656,-2.6423285,2.6479745,0.122148514,2.6726937,2.6653695,-2.6485846,2.651484,-2.642481,-2.6423285,2.648127,-0.10078573,2.672236,2.6649117,-2.6485846,2.6517892,-2.641413,-2.6415656,2.647822,0.774014,2.672236,2.6653695,-2.648432,2.651484,-2.641413,-2.641413,2.6466012
0.0,0.0,0.7378502,2.6726937,2.665217,-2.6485846,2.6517892,-2.641413,-2.6423285,2.647059,0.26863527,2.6725411,2.6653695,-2.6487372,2.6516366,-2.6415656,-2.642481,2.648127,-0.12443733,2.672236,2.6649117,-2.6485846,2.6516366,-2.6415656,-2.6423285,2.6479745,0.51277924,2.6726937,2.665217,-2.6488898,2.6517892,-2.6412604,-2.642481,2.6479745
1.0,1.0,0.7837796,2.672236,-2.6423285,-2.6389716,-2.6400397,-2.6401923,-2.639887,-2.639887,-2.6403449,-2.6412604,-2.639887,-2.6389716,-2.6400397,-2.6401923,-2.6400397,-2.6401923,-2.6401923,-2.6400397,-2.6400397,-2.6391242,-2.6400397,-2.6401923,-2.6400397,-2.6401923,-2.639887,-2.639887,-2.6403449,-2.6391242,-2.6400397,-2.6401923,-2.6400397,-2.6401923
1.0,0.0,-2.639887,-2.639887,-2.6400397,-2.6391242,-2.6400397,-2.6400397,-2.639887,-2.6401923,-2.6403449,-2.6403449,-2.6401923,-2.6400397,-2.639887,-2.6401923,-2.6400397,-2.6403449,-2.6401923,-2.6403449,-2.6401923,-2.6400397,-2.639887,-2.6403449,-2.6400397,-2.6403449,-2.6401923,-2.6400397,-2.6403449,-2.6400397,-2.6401923,-2.639887,-2.639887,-2.6403449
0.0,1.0,-2.6401923,-2.6403449,-2.669337,-2.644007,2.680934,-2.6415656,-2.641413,-2.6635387,-2.4093232,-0.32295752,2.6627755,-2.654841,2.6466012,-2.6415656,-2.6411078,2.6456857,2.6736093,2.666285,2.6604867,-2.657435,2.647059,-2.641413,-2.6411078,2.6456857,2.6726937,2.663691,2.6601815,-2.6569772,2.6467538,-2.6415656,-2.6411078,2.6458383
1.0,1.0,2.6736093,2.6638436,-2.6475165,-2.639887,-2.6525521,-2.639887,-2.6403449,-2.6401923,-2.6403449,-2.6513312,-2.6389716,-2.6400397,-2.639887,-2.639887,-2.639887,-2.6401923,-2.639887,-2.639887,-2.6403449,-2.6391242,-2.6400397,-2.6400397,-2.639887,-2.6403449,-2.6401923,-2.6412604,-2.639887,-2.639887,-2.639887,-2.6403449,-2.6400397,-2.6403449
0.0,1.0,-2.6400397,-2.6401923,-2.6743724,-2.6452277,2.6812391,-2.642481,-2.6427863,-2.6672008,-1.1959257,0.12962532,2.6612496,-2.6562142,2.6466012,-2.6415656,-2.6411078,2.6458383,2.6702523,2.6639962,2.659266,-2.6595712,2.647059,-2.641413,-2.641413,2.6456857,2.6676583,2.6617074,2.659266,-2.6581979,2.647059,-2.641413,-2.641413,2.6456857
0.0,0.0,2.6700997,2.6627755,2.6591134,-2.657435,2.6466012,-2.6415656,-2.6411078,2.6467538,2.6710153,2.6638436,2.660029,-2.655909,2.6466012,-2.6415656,-2.6411078,2.6456857,2.672236,2.663691,2.6601815,-2.6549935,2.647059,-2.641413,-2.641413,2.6456857,2.6723886,2.6649117,2.660029,-2.6549935,2.6466012,-2.6415656,-2.6411078,2.6456857
1.0,1.0,2.6736093,2.6653695,-2.6472113,-2.6400397,-2.6501105,-2.639887,-2.6401923,-2.6401923,-2.6403449,-2.649958,-2.6415656,-2.639887,-2.639887,-2.6403449,-2.6400397,-2.6403449,-2.6401923,-2.6403449,-2.639887,-2.6400397,-2.639887,-2.6400397,-2.639887,-2.6403449,-2.639887,-2.639887,-2.6403449,-2.6389716,-2.6400397,-2.6400397,-2.639887,-2.6403449
1.0,0.0,-2.6401923,-2.6403449,-2.639887,-2.6391242,-2.6400397,-2.6400397,-2.6401923,-2.6401923,-2.6400397,-2.639887,-2.6400397,-2.639887,-2.639887,-2.6401923,-2.639887,-2.6403449,-2.6403449,-2.6400397,-2.6400397,-2.6391242,-2.6403449,-2.639887,-2.639887,-2.6403449,-2.6401923,-2.6403449,-2.6401923,-2.6391242,-2.6400397,-2.6400397,-2.639887,-2.6401923
