Predictions1,Targets
-0.010452747,-0.013834208
0.00038146973,0.011170182
0.0077056885,0.0024048584
0.008621216,-0.058572166
0.008621216,0.009264741
0.016098022,0.021099402
0.008773804,-0.013647214
0.016403198,0.037928183
0.024948597,0.043907113
0.025711536,0.058538366
0.024643421,0.030540576
0.027390003,0.0690151
0.03334093,0.08393401
0.030899525,0.06584781
0.028458118,0.09570539
0.04203844,0.080029756
0.04051256,0.09694116
0.03700304,0.09729332
0.041733265,0.07719746
0.03913927,0.09986776
0.047684193,0.10955686
0.040817738,0.105548434
0.048141956,0.10179551
0.05378771,0.08986509
0.057754993,0.14866579
0.067521095,0.11354638
0.0649271,0.12744823
0.10414314,0.1498152
0.12336922,0.15152302
0.15754938,0.18487933
0.18333721,0.19114701
0.167315,0.16580737
0.250782,0.19793473
0.19340801,0.18424852
0.25154495,0.21137595
0.27763796,0.18813618
0.2835889,0.2006341
0.26543093,0.21571642
0.28496218,0.21683072
0.293355,0.2349666
0.30540943,0.21416146
0.2809949,0.18598866
0.29198122,0.23876096
0.2895398,0.2499148
0.293355,0.2986838
0.2870984,0.28297153
0.29198122,0.26517427
0.28252077,0.24714762
0.2832837,0.22596282
0.3031206,0.27327502
0.29060793,0.28213263
0.30052662,0.284237
0.2994585,0.28900167
0.32402515,0.3310367
0.3345542,0.30843902
0.342031,0.33154106
0.35790014,0.31412888
0.35042334,0.31353202
0.36293554,0.34475666
0.36263037,0.3301325
0.3699546,0.33692613
0.37041235,0.34373283
0.36308813,0.36429188
0.37254906,0.34356597
0.37773705,0.37219945
0.3936062,0.3843428
0.39192772,0.3705959
0.41908932,0.38792428
0.40779686,0.39406064
0.5230026,0.427728
0.5031662,0.3868734
0.54085636,0.42373535
0.6154728,0.40214735
0.6314945,0.42675823
0.5776305,0.39973408
0.60585976,0.4213321
0.6607919,0.43012
0.7132826,0.45480484
0.7169447,0.43521252
0.7842374,0.46216494
0.7679105,0.4532346
0.7912564,0.5344505
0.83749104,0.47342426
0.80590534,0.46391606
0.8315401,0.47528625
0.9024949,0.49772945
0.8863206,0.50020146
0.9340811,0.48943615
0.93438625,0.5492887
0.96688795,0.5093691
0.9624629,0.5126086
1.0059509,0.52808505
0.9864192,0.53014445
1.0245667,0.5333943
1.0369272,0.5548316
1.0219727,0.49375933
1.0538645,0.51273495
1.0657663,0.55174935
1.0697336,0.56616473
1.1297016,0.6121588
1.1634245,-0.013834208
0.008621216,0.011170182
0.029373646,0.0024048584
0.04203844,-0.058572166
0.023575306,0.009264741
0.027390003,0.021099402
0.01960802,-0.013647214
0.017318726,0.037928183
0.025711536,0.043907113
0.019913197,0.058538366
0.03349352,0.030540576
0.038071156,0.0690151
0.04051256,0.08393401
0.046921253,0.06584781
0.040817738,0.09570539
0.040817738,0.080029756
