FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,2901241.5,-113249.69,2903451,-2.2354004
0.5,2781597.3,53414.21,2782110,1.1000991
1,2748243.5,77835.17,2749345.5,1.6222852
5,2697421.5,108823.78,2699615.8,2.3102667
10,2682830.3,111155.25,2685132,2.3725266
50,2676791,45104.668,2677171,0.96535826
100,2690679.5,-17962.07,2690739.5,-0.38248163
250,2618857.5,-222730.22,2628312,-4.8612285
500,2465976.8,-574563.2,2532027.8,-13.115701
1000,1988542.6,-1053822.6,2250520.8,-27.921228
