FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,36874376,1716485.3,36914308,2.665168
0.5,32260720,831167.5,32271426,1.475846
1,74558080,-6909932.5,74877600,-5.294962
5,71665704,-27040474,76597390,-20.672192
10,38334636,-2269815.5,38401776,-3.388559
50,59411770,7789811,59920276,7.469762
100,41249456,-3270314.3,41378892,-4.533007
250,54684876,-4633305.5,54880810,-4.8429537
500,45221852,4505473,45445740,5.6896276
1000,39250684,-26792872,47523410,-34.317795
