FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,17008688,2970783.8,17266182,9.907494
0.5,21522826,3390730.5,21788280,8.952859
1,23059846,3353858.5,23302464,8.275161
5,23227044,7696696.5,24469056,18.333536
10,22429116,1124785.4,22457302,2.8708892
50,26036894,-1599009.8,26085948,-3.5143049
100,20643992,15617610,25885984,37.10826
250,17995586,468322.6,18001678,1.4907463
500,21926794,-4159481.5,22317832,-10.741297
1000,15630140,-7499390,17336152,-25.631836
