FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,2288527.3,-446485.94,2331674.8,-11.03959
0.5,1867063.3,-198056.48,1877538.8,-6.0552425
1,1791163.1,-129703.266,1795853,-4.141722
5,1717062.8,-80457.18,1718946.8,-2.6827717
10,1676039.8,-91281.67,1678523.6,-3.1174035
50,1616201.8,-160611.73,1624162.6,-5.6751943
100,1593580.5,-191730.44,1605073,-6.860522
250,1553032.9,-308259.63,1583330.4,-11.226652
500,1446723.5,-506700.28,1532890.8,-19.30229
1000,1129280.1,-744810.56,1352780.9,-33.40663
