FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,2526988.5,-458632.78,2568270.8,-10.286855
0.5,2074113.5,-210455.83,2084763.4,-5.7938495
1,1987356.3,-143280.17,1992514.5,-4.1236534
5,1851160.4,-90136.37,1853353.6,-2.787634
10,1786476.9,-103586.38,1789477.5,-3.3185003
50,1679217.9,-168993.5,1687700,-5.7467957
100,1648677.9,-200363.05,1660808.3,-6.9291487
250,1603071.1,-321098.1,1634913.1,-11.32656
500,1488535.1,-514541.56,1574957.1,-19.068718
1000,1160610.3,-776246.3,1396271.8,-33.77563
