FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,3044859.3,-64773.082,3045548.3,-1.2186654
0.5,3031411,90541.71,3032762.8,1.7107927
1,3043733.8,120248.99,3046108,2.2624114
5,3006912,138824.66,3010114.8,2.6433837
10,3006617.8,120083.88,3009015,2.2871697
50,2987878.3,53968.688,2988365.8,1.034795
100,2994356.5,-6212.1597,2994363,-0.118866935
250,2935948.8,-256572.4,2947138.3,-4.9943867
500,2761616.5,-652869.4,2837739.3,-13.301
1000,2246305.8,-1141011.1,2519483.3,-26.928295
