FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,10900356,661117.5,10920387,3.4707947
0.5,10911187,685382.75,10932692,3.5942938
1,10946709,681994.94,10967933,3.5649977
5,10943333,659850.1,10963209,3.4505856
10,10929356,620736,10946969,3.2506385
50,10867245,395980.94,10874457,2.0868216
100,10757595,172955.92,10758985,0.92109704
250,10671496,-771804.94,10699369,-4.136656
500,10263102,-2093485.9,10474443,-11.529128
1000,7979891,-4128663.3,8984683,-27.356293
