FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,10929048,688961.9,10950742,3.6071248
0.5,10870638,676478,10891666,3.5609148
1,10953958,673266.8,10974629,3.5171652
5,10938675,653794.7,10958196,3.4204476
10,10916686,616817.56,10934098,3.233903
50,10861190,388252.97,10868127,2.0472698
100,10775447,170023.52,10776788,0.90398294
250,10707219,-762547.06,10734338,-4.073614
500,10275536,-2126707.3,10493308,-11.693295
1000,7989678.5,-4108511,8984143,-27.213465
