Weights1,Weights2,Weights3,Weights4,Targets
2.0519276,2.0433593,2.0623744,2.05674,0.041709244
1.9064511,1.896642,1.915062,1.9105928,0.030708758
1.7785405,1.7701991,1.7873911,1.7824061,0.042815123
1.6664282,1.6574637,1.6754885,1.6710058,0.025563471
1.5677747,1.5589784,1.5763917,1.5719932,0.02984814
1.4794044,1.4719446,1.4882209,1.4860166,0.05068562
1.4001758,1.3951163,1.409733,1.407725,0.04147827
1.3300145,1.3252842,1.33917,1.337415,0.045054507
1.2660992,1.2620302,1.2754,1.2738739,0.0780667
1.2076476,1.2048732,1.2168725,1.215277,0.050497252
1.1538806,1.1523547,1.1634341,1.1629695,0.014327597
1.1054208,1.1042764,1.1150213,1.1139404,0.0666193
1.0602884,1.0601053,1.0778058,1.069871,0.052956972
1.019332,1.019332,1.0364105,1.0287808,0.0674823
0.9817485,0.98163545,0.99791175,0.99113005,0.05331927
0.9466316,0.9465226,0.95480597,0.9556781,0.048190534
0.9135682,0.913463,0.92835367,0.9223552,0.07270658
0.88357365,0.8834719,0.89735764,0.89201707,0.049234226
0.8550221,0.85492367,0.8683122,0.8631931,0.06172045
0.82835037,0.8279212,0.83474,0.83626604,0.049723044
0.80324876,0.8028326,0.80953723,0.81087834,0.06271982
0.77962387,0.7794892,0.78559273,0.7870739,0.04404696
0.7573489,0.7572181,0.76288563,0.76419353,0.06707082
0.7358875,0.73584515,0.74169433,0.74343234,0.09181872
0.7164111,0.71603996,0.7213599,0.72325706,0.079845
0.69751805,0.6974377,0.70225626,0.7038625,0.07366576
0.67959386,0.6796721,0.684015,0.6861279,0.080229506
0.662604,0.66233695,0.6669527,0.6690128,0.07613329
0.6464429,0.6462196,0.6502762,0.6523976,0.07232574
0.6307608,0.6307971,0.6345391,0.63682795,0.08234941
0.005695543,0.005695543,0.6190017,0.62208897,0.099843994
0.6024366,0.6020898,0.60541904,0.60819346,0.07115823
0.58898133,0.5887779,0.59193134,0.59440666,0.08072838
0.57617736,0.57594514,0.5788642,0.5817503,0.08400063
0.56365854,0.5637235,0.566548,0.5691128,0.08831124
0.5519475,0.5519157,0.5545224,0.55728805,0.09084087
0.5409012,0.5406521,0.542863,0.54594594,0.056883868
0.52986956,0.52983904,0.5320363,0.534966,0.09871622
0.51948,0.51945007,0.5213948,0.52471596,0.12118234
0.50951934,0.5094606,0.5113973,0.51462525,0.10402421
0.49990577,0.4998482,0.5014892,0.5046849,0.15145014
0.49061993,0.49056342,0.4919763,0.4953106,0.12849315
0.4816996,0.48172733,0.48988396,0.48630497,0.121931314
0.47309783,0.47309783,0.47437847,0.47762096,0.09965954
0.4646105,0.46455693,0.47269505,0.4694827,0.11398951
0.4568104,0.4567841,0.4643873,0.46123022,0.13927267
0.44904202,0.44904202,0.45630944,0.45341274,0.13176441
