FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,1586963.8,-220121.16,1602157,-7.896873
0.5,1555310.3,-45359.004,1555971.5,-1.6704981
1,1549479.8,-7929.5894,1549500,-0.29321325
5,1556844.4,17232.738,1556939.8,0.6341821
10,1552698,18740.95,1552811.1,0.6915222
50,1537162.1,13800.268,1537224,0.5143737
100,1531718.9,-26808.658,1531953.5,-1.0027076
250,1505618.9,-155106.58,1513587.1,-5.8817754
500,1418403.5,-351998.84,1461427.9,-13.937275
1000,1138472.1,-621514.7,1297073.4,-28.631008
