FrequencyHz,ZRealOhms,ZImagOhms,MagnitudeOhms,PhaseDegree
0.1,10923220,681639.9,10944468,3.5707886
0.5,10900339,669817.3,10920900,3.516359
1,10902104,680709.9,10923335,3.5728183
5,10954546,658285.06,10974307,3.4389057
10,10943761,613183.2,10960926,3.2069514
50,10827040,387151.13,10833960,2.0478983
100,10747862,88006.586,10748222,0.46914384
250,10706731,-776648.3,10734862,-4.1488733
500,10018172,-2140840.5,10244363,-12.062432
1000,8287051.5,-4368202.5,9367839,-27.79424
